Domicile,xG,Score,xG.1,Extérieur,Affluence,Arbitre
Aston Villa,0.6,1–1,1.1,Brentford,42045.0,Peter Bankes
Liverpool,2.6,1–1,0.8,Chelsea,54000.0,Anthony Taylor
Burnley,1.4,1–1,1.5,Leeds United,20000.0,Michael Oliver
Tottenham,0.9,1–0,0.6,Watford,57672.0,Andre Marriner
Wolves,1.8,0–1,0.6,Manchester Utd,30621.0,Mike Dean
Crystal Palace,2.4,3–0,0.1,Tottenham,26000.0,Jonathan Moss
Southampton,0.8,0–0,0.6,West Ham,30000.0,David Coote
Manchester Utd,2.1,4–1,0.7,Newcastle Utd,72732.0,Anthony Taylor
Arsenal,2.8,1–0,0.6,Norwich City,58000.0,Michael Oliver
Leicester City,0.8,0–1,2.9,Manchester City,32087.0,Paul Tierney
Watford,0.2,0–2,2.1,Wolves,20019.0,Peter Bankes
Brentford,0.7,0–1,0.2,Brighton,16518.0,Graham Scott
Chelsea,1.1,3–0,1.5,Aston Villa,39969.0,Stuart Attwell
Leeds United,1.2,0–3,4.0,Liverpool,36507.0,Craig Pawson
Everton,1.3,3–1,1.3,Burnley,30000.0,Martin Atkinson
Newcastle Utd,1.3,1–1,2.0,Leeds United,50407.0,Mike Dean
Wolves,0.6,0–2,2.5,Brentford,30000.0,Darren England
Liverpool,2.7,3–0,0.8,Crystal Palace,52000.0,Andy Madley
Norwich City,1.0,1–3,1.8,Watford,26649.0,Robert Jones
Manchester City,1.1,0–0,0.4,Southampton,52698.0,Jonathan Moss
Burnley,1.3,0–1,1.2,Arsenal,20000.0,Anthony Taylor
Aston Villa,1.3,3–0,0.7,Everton,41888.0,Craig Pawson
West Ham,1.6,1–2,1.8,Manchester Utd,60000.0,Martin Atkinson
Brighton,1.4,2–1,1.7,Leicester City,31078.0,Stuart Attwell
Tottenham,0.7,0–3,1.9,Chelsea,60059.0,Paul Tierney
Chelsea,0.3,0–1,1.7,Manchester City,40036.0,Michael Oliver
Manchester Utd,2.3,0–1,1.2,Aston Villa,72922.0,Mike Dean
Everton,2.1,2–0,0.6,Norwich City,38821.0,David Coote
Leeds United,1.3,1–2,1.8,West Ham,36417.0,Kevin Friend
Watford,1.1,1–1,2.5,Newcastle Utd,20650.0,Jarred Gillett
Leicester City,2.6,2–2,0.7,Burnley,31650.0,Chris Kavanagh
Brentford,1.9,3–3,2.5,Liverpool,16876.0,Stuart Attwell
Southampton,1.2,0–1,1.0,Wolves,28002.0,Andy Madley
Arsenal,0.8,3–1,1.0,Tottenham,59919.0,Craig Pawson
Crystal Palace,1.4,1–1,0.6,Brighton,22975.0,Andre Marriner
Manchester Utd,0.9,1–1,1.1,Everton,73128.0,Michael Oliver
Leeds United,1.9,1–0,0.2,Watford,36261.0,Simon Hooper
Wolves,0.9,2–1,0.6,Newcastle Utd,30483.0,Graham Scott
Burnley,1.0,0–0,0.5,Norwich City,17427.0,Kevin Friend
Chelsea,3.6,3–1,1.3,Southampton,40109.0,Martin Atkinson
Brighton,1.4,0–0,0.5,Arsenal,31266.0,Jonathan Moss
Crystal Palace,1.3,2–2,1.7,Leicester City,25000.0,Anthony Taylor
West Ham,1.3,1–2,1.2,Brentford,49940.0,Peter Bankes
Tottenham,1.7,2–1,1.1,Aston Villa,53076.0,Chris Kavanagh
Liverpool,1.0,2–2,1.2,Manchester City,53102.0,Paul Tierney
Watford,0.5,0–5,3.6,Liverpool,21085.0,Jonathan Moss
Leicester City,3.1,4–2,1.4,Manchester Utd,32219.0,Craig Pawson
Southampton,2.3,1–0,0.2,Leeds United,30506.0,David Coote
Manchester City,1.9,2–0,1.0,Burnley,52711.0,Martin Atkinson
Aston Villa,1.1,2–3,2.0,Wolves,41951.0,Michael Oliver
Norwich City,1.0,0–0,0.9,Brighton,26777.0,Peter Bankes
Brentford,1.6,0–1,0.3,Chelsea,16940.0,Anthony Taylor
Everton,0.8,0–1,1.5,West Ham,39132.0,Stuart Attwell
Newcastle Utd,0.5,2–3,1.6,Tottenham,52214.0,Andre Marriner
Arsenal,1.4,2–2,0.9,Crystal Palace,59475.0,Mike Dean
Arsenal,2.7,3–1,1.4,Aston Villa,59496.0,Craig Pawson
Chelsea,3.2,7–0,0.2,Norwich City,40113.0,Andy Madley
Southampton,1.6,2–2,0.7,Burnley,29145.0,Chris Kavanagh
Crystal Palace,1.7,1–1,0.4,Newcastle Utd,24609.0,Darren England
Everton,2.3,2–5,3.2,Watford,38834.0,Graham Scott
Leeds United,1.9,1–1,1.0,Wolves,36475.0,Robert Jones
Brighton,1.3,1–4,3.9,Manchester City,31215.0,Kevin Friend
West Ham,1.2,1–0,0.7,Tottenham,59924.0,Paul Tierney
Brentford,1.2,1–2,1.5,Leicester City,16814.0,Simon Hooper
Manchester Utd,1.5,0–5,3.8,Liverpool,73088.0,Anthony Taylor
Leicester City,1.2,0–2,0.9,Arsenal,32209.0,Michael Oliver
Watford,1.2,0–1,2.0,Southampton,20869.0,Peter Bankes
Newcastle Utd,0.3,0–3,2.1,Chelsea,52208.0,Paul Tierney
Liverpool,1.1,2–2,1.1,Brighton,52598.0,Mike Dean
Burnley,2.2,3–1,0.7,Brentford,18821.0,Jonathan Moss
Manchester City,1.1,0–2,1.1,Crystal Palace,53014.0,Andre Marriner
Tottenham,0.7,0–3,1.2,Manchester Utd,60356.0,Stuart Attwell
Norwich City,0.7,1–2,0.7,Leeds United,26913.0,Anthony Taylor
Aston Villa,0.7,1–4,2.3,West Ham,41874.0,Chris Kavanagh
Wolves,1.6,2–1,1.5,Everton,30617.0,Martin Atkinson
Southampton,0.8,1–0,0.6,Aston Villa,30178.0,Andy Madley
Manchester Utd,0.6,0–2,2.0,Manchester City,73086.0,Michael Oliver
Crystal Palace,2.0,2–0,0.2,Wolves,24390.0,Graham Scott
Chelsea,2.2,1–1,1.0,Burnley,39798.0,Andre Marriner
Brentford,2.2,1–2,1.4,Norwich City,16837.0,Jarred Gillett
Brighton,1.6,1–1,0.2,Newcastle Utd,31267.0,David Coote
Leeds United,1.2,1–1,1.1,Leicester City,36478.0,Darren England
Everton,0.5,0–0,0.8,Tottenham,39059.0,Chris Kavanagh
Arsenal,1.7,1–0,0.7,Watford,59833.0,Kevin Friend
West Ham,0.8,3–2,1.3,Liverpool,59909.0,Craig Pawson
Leicester City,0.4,0–3,2.4,Chelsea,35497.0,Paul Tierney
Newcastle Utd,1.6,3–3,0.8,Brentford,52131.0,Robert Jones
Aston Villa,0.6,2–0,0.4,Brighton,41925.0,Anthony Taylor
Watford,2.2,4–1,1.6,Manchester Utd,21087.0,Jonathan Moss
Norwich City,0.5,2–1,1.1,Southampton,26885.0,Martin Atkinson
Wolves,1.2,1–0,0.5,West Ham,30667.0,Mike Dean
Burnley,1.3,3–3,2.0,Crystal Palace,18028.0,Simon Hooper
Liverpool,4.3,4–0,0.4,Arsenal,53092.0,Michael Oliver
Manchester City,2.3,3–0,0.3,Everton,52571.0,Stuart Attwell
Tottenham,2.0,2–1,1.1,Leeds United,58989.0,Andre Marriner
Arsenal,2.0,2–0,0.2,Newcastle Utd,59886.0,Stuart Attwell
Crystal Palace,0.9,1–2,0.4,Aston Villa,25203.0,Michael Salisbury
Norwich City,1.5,0–0,0.3,Wolves,26911.0,Simon Hooper
Liverpool,2.5,4–0,1.0,Southampton,53040.0,Andre Marriner
Brighton,2.1,0–0,0.9,Leeds United,31166.0,Craig Pawson
Brentford,1.2,1–0,0.9,Everton,16957.0,Darren England
Leicester City,2.2,4–2,2.7,Watford,32020.0,Andy Madley
Manchester City,2.1,2–1,0.2,West Ham,53245.0,Michael Oliver
Chelsea,2.9,1–1,0.7,Manchester Utd,40041.0,Anthony Taylor
Newcastle Utd,1.1,1–1,1.4,Norwich City,50757.0,Andy Madley
Leeds United,1.7,1–0,1.0,Crystal Palace,35558.0,Kevin Friend
Wolves,0.7,0–0,0.2,Burnley,30328.0,John Brooks
Southampton,1.5,2–2,1.5,Leicester City,26951.0,Robert Jones
Watford,1.0,1–2,1.3,Chelsea,20388.0,David Coote
West Ham,1.6,1–1,1.1,Brighton,59626.0,Chris Kavanagh
Everton,0.6,1–4,2.1,Liverpool,39641.0,Paul Tierney
Aston Villa,0.9,1–2,0.9,Manchester City,41400.0,Mike Dean
Tottenham,2.4,2–0,0.3,Brentford,54202.0,Jonathan Moss
Manchester Utd,1.9,3–2,1.5,Arsenal,73123.0,Martin Atkinson
West Ham,1.8,3–2,1.2,Chelsea,59942.0,Andre Marriner
Wolves,0.2,0–1,2.5,Liverpool,30729.0,Chris Kavanagh
Southampton,1.4,1–1,1.4,Brighton,28706.0,Anthony Taylor
Newcastle Utd,1.3,1–0,0.7,Burnley,51948.0,Paul Tierney
Watford,0.7,1–3,3.2,Manchester City,20673.0,Simon Hooper
Tottenham,1.7,3–0,1.6,Norwich City,57088.0,Jarred Gillett
Manchester Utd,1.1,1–0,0.9,Crystal Palace,73172.0,Craig Pawson
Leeds United,1.4,2–2,0.9,Brentford,35639.0,David Coote
Aston Villa,2.0,2–1,1.4,Leicester City,41572.0,Michael Oliver
Everton,1.0,2–1,1.2,Arsenal,38906.0,Mike Dean
Brentford,1.9,2–1,0.6,Watford,16861.0,Michael Oliver
Manchester City,3.5,1–0,0.2,Wolves,52613.0,Jonathan Moss
Liverpool,2.5,1–0,0.4,Aston Villa,53093.0,Stuart Attwell
Chelsea,2.8,3–2,1.4,Leeds United,39959.0,Chris Kavanagh
Arsenal,1.5,3–0,0.6,Southampton,59653.0,Jarred Gillett
Norwich City,0.9,0–1,2.0,Manchester Utd,27606.0,Darren England
Burnley,0.6,0–0,0.6,West Ham,18065.0,Graham Scott
Leicester City,2.5,4–0,0.7,Newcastle Utd,31959.0,Peter Bankes
Crystal Palace,1.6,3–1,1.3,Everton,24066.0,Andy Madley
Norwich City,0.5,0–2,1.7,Aston Villa,26836.0,David Coote
Manchester City,3.6,7–0,0.2,Leeds United,52401.0,Paul Tierney
Crystal Palace,1.2,2–2,0.7,Southampton,22861.0,Simon Hooper
Brighton,1.1,0–1,1.3,Wolves,30362.0,Tony Harrington
Arsenal,2.7,2–0,0.3,West Ham,59777.0,Anthony Taylor
Chelsea,2.7,1–1,0.4,Everton,13933.0,Michael Oliver
Liverpool,2.4,3–1,0.3,Newcastle Utd,52951.0,Mike Dean
Leeds United,1.6,1–4,3.2,Arsenal,36166.0,Andre Marriner
Wolves,0.3,0–0,0.8,Chelsea,30631.0,David Coote
Newcastle Utd,0.4,0–4,3.1,Manchester City,52127.0,Martin Atkinson
Tottenham,3.4,2–2,1.5,Liverpool,45421.0,Paul Tierney
West Ham,1.7,2–3,1.3,Southampton,41027.0,Kevin Friend
Manchester City,3.4,6–3,2.4,Leicester City,53226.0,Chris Kavanagh
Norwich City,0.1,0–5,2.5,Arsenal,26940.0,Graham Scott
Tottenham,2.5,3–0,0.2,Crystal Palace,40539.0,Jonathan Moss
Aston Villa,0.6,1–3,2.8,Chelsea,41907.0,Martin Atkinson
Brighton,0.9,2–0,0.9,Brentford,30141.0,Darren England
Newcastle Utd,1.1,1–1,1.2,Manchester Utd,52178.0,Craig Pawson
Southampton,0.4,1–1,2.4,Tottenham,31304.0,Anthony Taylor
Crystal Palace,2.0,3–0,1.2,Norwich City,24433.0,Paul Tierney
Watford,1.1,1–4,2.9,West Ham,20073.0,Darren England
Leicester City,0.6,1–0,2.5,Liverpool,32230.0,Michael Oliver
Chelsea,1.1,1–1,0.9,Brighton,40080.0,Mike Dean
Brentford,0.3,0–1,0.8,Manchester City,17009.0,David Coote
Manchester Utd,2.0,3–1,0.8,Burnley,73121.0,Jonathan Moss
Arsenal,0.9,1–2,1.6,Manchester City,59757.0,Stuart Attwell
Watford,0.3,0–1,1.9,Tottenham,20391.0,Robert Jones
Crystal Palace,1.9,2–3,1.9,West Ham,24351.0,Darren England
Leeds United,1.3,3–1,0.9,Burnley,36083.0,Paul Tierney
Everton,1.6,2–3,1.5,Brighton,38203.0,John Brooks
Brentford,0.5,2–1,1.1,Aston Villa,16876.0,Craig Pawson
Chelsea,1.3,2–2,1.4,Liverpool,40072.0,Anthony Taylor
Manchester Utd,0.8,0–1,0.7,Wolves,73045.0,Mike Dean
Southampton,1.6,4–1,0.7,Brentford,27383.0,Stuart Attwell
West Ham,2.1,2–0,0.3,Norwich City,59775.0,Simon Hooper
Brighton,2.1,1–1,0.2,Crystal Palace,30675.0,Robert Jones
Manchester City,0.7,1–0,0.5,Chelsea,53319.0,Craig Pawson
Newcastle Utd,1.4,1–1,1.3,Watford,52223.0,Paul Tierney
Wolves,2.1,3–1,1.1,Southampton,30057.0,Michael Salisbury
Norwich City,0.8,2–1,0.6,Everton,26629.0,Andy Madley
Aston Villa,2.0,2–2,1.0,Manchester Utd,41968.0,David Coote
West Ham,2.0,2–3,2.3,Leeds United,59951.0,Mike Dean
Liverpool,3.1,3–0,0.5,Brentford,52824.0,Jonathan Moss
Brighton,0.6,1–1,0.7,Chelsea,30880.0,Kevin Friend
Leicester City,1.5,2–3,3.7,Tottenham,31986.0,Jonathan Moss
Brentford,2.2,1–3,2.0,Manchester Utd,17094.0,Andre Marriner
Watford,1.1,0–3,0.7,Norwich City,20782.0,Mike Dean
Everton,1.3,0–1,0.6,Aston Villa,38203.0,Craig Pawson
Manchester Utd,1.8,1–0,0.4,West Ham,73130.0,Jonathan Moss
Brentford,1.3,1–2,0.2,Wolves,16982.0,Peter Bankes
Leeds United,1.0,0–1,1.1,Newcastle Utd,36405.0,Chris Kavanagh
Southampton,1.1,1–1,1.6,Manchester City,31178.0,Simon Hooper
Leicester City,2.2,1–1,1.0,Brighton,31231.0,Martin Atkinson
Crystal Palace,2.2,1–3,1.7,Liverpool,25002.0,Kevin Friend
Arsenal,1.2,0–0,0.4,Burnley,59255.0,David Coote
Chelsea,0.9,2–0,0.4,Tottenham,40020.0,Paul Tierney
Burnley,0.8,0–0,1.0,Watford,19527.0,Craig Pawson
Newcastle Utd,2.2,3–1,0.6,Everton,52186.0,Anthony Taylor
West Ham,0.7,1–0,0.3,Watford,59581.0,Martin Atkinson
Burnley,0.6,1–1,2.1,Manchester Utd,21233.0,Mike Dean
Tottenham,1.5,2–3,2.7,Southampton,54012.0,David Coote
Manchester City,2.0,2–0,0.7,Brentford,51658.0,Darren England
Norwich City,0.5,1–1,1.1,Crystal Palace,26652.0,Paul Tierney
Aston Villa,1.8,3–3,1.9,Leeds United,41927.0,Jarred Gillett
Wolves,0.9,0–1,1.8,Arsenal,31523.0,Michael Oliver
Liverpool,2.6,2–0,0.3,Leicester City,53050.0,Chris Kavanagh
Manchester Utd,2.1,1–1,1.1,Southampton,73084.0,Stuart Attwell
Brentford,1.5,0–0,0.5,Crystal Palace,16958.0,Simon Hooper
Everton,2.1,3–0,0.3,Leeds United,39150.0,Graham Scott
Watford,0.5,0–2,1.4,Brighton,20795.0,Jonathan Moss
Norwich City,0.5,0–4,4.6,Manchester City,27010.0,Andre Marriner
Tottenham,1.4,0–2,1.3,Wolves,56452.0,Kevin Friend
Burnley,0.8,0–1,1.6,Liverpool,19563.0,Martin Atkinson
Newcastle Utd,0.5,1–0,0.4,Aston Villa,52207.0,Craig Pawson
Leicester City,1.3,2–2,0.6,West Ham,32061.0,Michael Oliver
Manchester Utd,2.0,2–0,0.6,Brighton,73012.0,Peter Bankes
West Ham,0.6,1–1,0.7,Newcastle Utd,59949.0,Chris Kavanagh
Aston Villa,1.3,0–1,1.1,Watford,41936.0,Robert Jones
Liverpool,3.0,3–1,0.6,Norwich City,53135.0,Mike Dean
Crystal Palace,0.6,0–1,1.1,Chelsea,25109.0,David Coote
Arsenal,2.1,2–1,0.6,Brentford,59249.0,Jonathan Moss
Southampton,2.0,2–0,0.3,Everton,31312.0,Andy Madley
Brighton,0.5,0–3,0.7,Burnley,30361.0,Kevin Friend
Manchester City,2.1,2–3,1.8,Tottenham,53201.0,Anthony Taylor
Leeds United,1.5,2–4,2.6,Manchester Utd,36715.0,Paul Tierney
Wolves,0.6,2–1,1.6,Leicester City,31587.0,Craig Pawson
Burnley,1.1,1–0,0.9,Tottenham,19488.0,Graham Scott
Watford,1.0,1–4,0.8,Crystal Palace,20012.0,Andre Marriner
Liverpool,5.0,6–0,0.2,Leeds United,53018.0,Michael Oliver
Arsenal,2.7,2–1,1.0,Wolves,59888.0,Martin Atkinson
Southampton,2.8,2–0,0.6,Norwich City,31182.0,Simon Hooper
Leeds United,1.5,0–4,2.4,Tottenham,36599.0,Craig Pawson
Crystal Palace,0.9,1–1,0.2,Burnley,24203.0,Jonathan Moss
Brighton,0.6,0–2,1.2,Aston Villa,31475.0,John Brooks
Manchester Utd,2.9,0–0,0.5,Watford,73152.0,Kevin Friend
Brentford,0.3,0–2,2.4,Newcastle Utd,17039.0,Mike Dean
Everton,0.8,0–1,1.6,Manchester City,39105.0,Paul Tierney
West Ham,2.1,1–0,0.8,Wolves,59946.0,Anthony Taylor
Burnley,1.0,0–2,1.5,Leicester City,17825.0,Chris Kavanagh
Leicester City,0.5,1–0,1.9,Leeds United,32236.0,David Coote
Wolves,0.5,0–2,2.6,Crystal Palace,31395.0,Andy Madley
Aston Villa,2.6,4–0,0.7,Southampton,41855.0,Peter Bankes
Newcastle Utd,1.6,2–1,1.3,Brighton,52214.0,Martin Atkinson
Norwich City,1.4,1–3,2.1,Brentford,26887.0,Anthony Taylor
Burnley,0.8,0–4,2.2,Chelsea,19439.0,Andre Marriner
Liverpool,2.6,1–0,1.5,West Ham,59925.0,Jonathan Moss
Watford,1.5,2–3,1.4,Arsenal,21142.0,Craig Pawson
Manchester City,2.6,4–1,0.5,Manchester Utd,53165.0,Michael Oliver
Tottenham,2.9,5–0,0.2,Everton,59647.0,Stuart Attwell
Wolves,0.9,4–0,0.9,Watford,29658.0,Darren England
Southampton,1.3,1–2,0.6,Newcastle Utd,30056.0,Kevin Friend
Norwich City,1.0,1–3,1.9,Chelsea,26684.0,Martin Atkinson
Leeds United,0.2,0–3,1.4,Aston Villa,36400.0,Simon Hooper
Brighton,0.8,0–2,2.3,Liverpool,31474.0,Mike Dean
Brentford,1.9,2–0,0.7,Burnley,17088.0,Paul Tierney
Manchester Utd,1.1,3–2,1.3,Tottenham,73458.0,Jonathan Moss
Leeds United,2.5,2–1,1.2,Norwich City,36321.0,Stuart Attwell
Chelsea,0.8,1–0,0.2,Newcastle Utd,40026.0,David Coote
West Ham,1.3,2–1,1.0,Aston Villa,59957.0,Jarred Gillett
Southampton,1.1,1–2,1.5,Watford,28863.0,Graham Scott
Everton,0.5,0–1,0.8,Wolves,39112.0,Michael Oliver
Arsenal,2.3,2–0,0.3,Leicester City,60111.0,Anthony Taylor
Crystal Palace,0.8,0–0,2.3,Manchester City,25309.0,Martin Atkinson
Brighton,0.7,0–2,2.4,Tottenham,31144.0,Robert Jones
Arsenal,0.5,0–2,0.8,Liverpool,59968.0,Andre Marriner
Everton,0.6,1–0,1.0,Newcastle Utd,39068.0,Craig Pawson
Wolves,0.8,2–3,2.2,Leeds United,31842.0,Kevin Friend
Aston Villa,0.4,0–1,1.3,Arsenal,41956.0,Andy Madley
Leicester City,1.3,2–1,1.4,Brentford,31830.0,Darren England
Tottenham,2.5,3–1,0.6,West Ham,58685.0,Anthony Taylor
Liverpool,2.1,2–0,0.6,Watford,53104.0,Stuart Attwell
Leeds United,1.1,1–1,1.7,Southampton,36580.0,Anthony Taylor
Burnley,0.1,0–2,1.8,Manchester City,21249.0,Craig Pawson
Wolves,1.2,2–1,2.1,Aston Villa,31012.0,Darren England
Chelsea,1.6,1–4,2.1,Brentford,39061.0,Andy Madley
Brighton,2.9,0–0,0.3,Norwich City,31245.0,Simon Hooper
Manchester Utd,1.3,1–1,0.8,Leicester City,73444.0,Andre Marriner
West Ham,1.2,2–1,0.8,Everton,59953.0,Michael Oliver
Tottenham,3.1,5–1,0.6,Newcastle Utd,57553.0,Martin Atkinson
Crystal Palace,1.6,3–0,0.8,Arsenal,25149.0,Paul Tierney
Burnley,1.4,3–2,2.4,Everton,19830.0,Mike Dean
Newcastle Utd,1.6,1–0,0.3,Wolves,52164.0,Peter Bankes
Everton,0.4,1–0,0.7,Manchester Utd,39080.0,Jonathan Moss
Arsenal,1.8,1–2,0.5,Brighton,60112.0,David Coote
Southampton,0.5,0–6,4.2,Chelsea,31359.0,Kevin Friend
Watford,1.2,0–3,1.0,Leeds United,20957.0,Andre Marriner
Aston Villa,1.6,0–4,1.0,Tottenham,41949.0,Graham Scott
Norwich City,1.5,2–0,1.9,Burnley,26361.0,Michael Oliver
Brentford,1.6,2–0,0.3,West Ham,17032.0,Martin Atkinson
Leicester City,1.0,2–1,1.3,Crystal Palace,31896.0,Robert Jones
Manchester City,2.0,2–2,1.0,Liverpool,53197.0,Anthony Taylor
Tottenham,0.4,0–1,0.7,Brighton,58685.0,Craig Pawson
Manchester Utd,2.0,3–2,1.9,Norwich City,73381.0,Andy Madley
Southampton,0.7,1–0,1.7,Arsenal,31465.0,Peter Bankes
Watford,1.5,1–2,1.3,Brentford,21045.0,Simon Hooper
West Ham,2.0,1–1,1.6,Burnley,59958.0,Paul Tierney
Newcastle Utd,1.4,2–1,0.6,Leicester City,52104.0,Jarred Gillett
Liverpool,2.3,4–0,0.1,Manchester Utd,52686.0,Martin Atkinson
Everton,1.5,1–1,1.0,Leicester City,39153.0,David Coote
Chelsea,0.6,2–4,2.4,Arsenal,32249.0,Jonathan Moss
Newcastle Utd,0.9,1–0,0.5,Crystal Palace,51938.0,Tony Harrington
Manchester City,1.1,3–0,0.1,Brighton,52226.0,Mike Dean
Burnley,1.5,2–0,1.1,Southampton,17384.0,Stuart Attwell
Arsenal,2.2,3–1,2.2,Manchester Utd,60223.0,Craig Pawson
Manchester City,3.0,5–1,0.5,Watford,53013.0,Kevin Friend
Leicester City,0.4,0–0,0.6,Aston Villa,32185.0,Andy Madley
Norwich City,0.7,0–3,2.4,Newcastle Utd,26910.0,Chris Kavanagh
Brentford,0.8,0–0,0.7,Tottenham,17072.0,Martin Atkinson
Chelsea,2.8,1–0,0.5,West Ham,32231.0,Michael Oliver
Burnley,1.1,1–0,0.7,Wolves,19246.0,Anthony Taylor
Brighton,1.4,2–2,0.9,Southampton,31335.0,Robert Jones
Liverpool,1.6,2–0,0.4,Everton,53213.0,Stuart Attwell
Crystal Palace,1.9,0–0,0.4,Leeds United,25357.0,Darren England
Manchester Utd,0.6,1–1,2.0,Chelsea,73564.0,Mike Dean
Newcastle Utd,0.2,0–1,2.3,Liverpool,52281.0,Andre Marriner
Watford,1.1,1–2,2.0,Burnley,20738.0,Craig Pawson
Southampton,0.5,1–2,1.0,Crystal Palace,31359.0,Jarred Gillett
Wolves,0.6,0–3,2.5,Brighton,31243.0,Simon Hooper
Aston Villa,2.2,2–0,0.6,Norwich City,40290.0,John Brooks
Leeds United,1.2,0–4,2.7,Manchester City,35771.0,Paul Tierney
Tottenham,1.5,3–1,0.4,Leicester City,59482.0,Jonathan Moss
Everton,1.3,1–0,1.2,Chelsea,39256.0,Kevin Friend
West Ham,0.4,1–2,0.8,Arsenal,59959.0,Mike Dean
Manchester Utd,1.5,3–0,0.6,Brentford,73482.0,Chris Kavanagh
Chelsea,2.5,2–2,2.1,Wolves,32190.0,Peter Bankes
Brentford,3.1,3–0,1.0,Southampton,17051.0,Michael Salisbury
Crystal Palace,1.9,1–0,0.5,Watford,24622.0,Graham Scott
Burnley,1.7,1–3,1.8,Aston Villa,20891.0,David Coote
Brighton,2.8,4–0,0.8,Manchester Utd,31637.0,Andy Madley
Liverpool,1.2,1–1,1.1,Tottenham,53177.0,Michael Oliver
Norwich City,0.7,0–4,3.1,West Ham,26428.0,Robert Jones
Arsenal,2.9,2–1,0.5,Leeds United,60108.0,Chris Kavanagh
Leicester City,1.8,1–2,1.5,Everton,32001.0,Craig Pawson
Manchester City,3.1,5–0,0.9,Newcastle Utd,53336.0,Stuart Attwell
Aston Villa,1.1,1–2,1.9,Liverpool,41919.0,Jonathan Moss
Leeds United,0.5,0–3,1.5,Chelsea,36549.0,Anthony Taylor
Leicester City,2.5,3–0,1.2,Norwich City,38092.0,Simon Hooper
Watford,0.3,0–0,1.2,Everton,20653.0,Mike Dean
Wolves,0.5,1–5,3.1,Manchester City,32000.0,Martin Atkinson
Tottenham,3.1,3–0,0.4,Arsenal,62027.0,Paul Tierney
Tottenham,2.0,1–0,0.7,Burnley,61729.0,Kevin Friend
Watford,1.4,1–5,2.3,Leicester City,20257.0,Jarred Gillett
West Ham,1.3,2–2,2.5,Manchester City,59972.0,Anthony Taylor
Leeds United,2.0,1–1,2.2,Brighton,36638.0,Mike Dean
Wolves,0.9,1–1,1.3,Norwich City,31219.0,Tony Harrington
Aston Villa,1.0,1–1,1.3,Crystal Palace,41136.0,Chris Kavanagh
Everton,1.8,2–3,1.6,Brentford,38819.0,Michael Oliver
Newcastle Utd,2.1,2–0,0.6,Arsenal,52274.0,Darren England
Southampton,0.1,1–2,1.5,Liverpool,31588.0,Martin Atkinson
Everton,0.8,3–2,1.4,Crystal Palace,38448.0,Anthony Taylor
Aston Villa,1.3,1–1,1.6,Burnley,40468.0,Paul Tierney
Chelsea,1.7,1–1,0.1,Leicester City,31478.0,Stuart Attwell
Brighton,1.7,3–1,0.3,West Ham,31604.0,Kevin Friend
Brentford,1.2,1–2,1.4,Leeds United,16957.0,Paul Tierney
Leicester City,2.3,4–1,1.2,Southampton,32003.0,Jonathan Moss
Arsenal,3.1,5–1,1.1,Everton,60201.0,Andre Marriner
Crystal Palace,0.5,1–0,0.8,Manchester Utd,25434.0,Martin Atkinson
Norwich City,0.3,0–5,3.7,Tottenham,27022.0,Chris Kavanagh
Burnley,1.4,1–2,1.8,Newcastle Utd,21361.0,Craig Pawson
Liverpool,3.2,3–1,1.1,Wolves,53097.0,Anthony Taylor
Manchester City,2.9,3–2,0.3,Aston Villa,53395.0,Michael Oliver
Chelsea,2.4,2–1,1.0,Watford,32089.0,Mike Dean
